no,control,stimulus,position,ui,response,rt,SR
1,I,G,bottom,slider,top,991,1
1,I,M,top,button,down,792,1
1,I,M,bottom,slider,top,759,1
1,I,N,top,button,down,759,1
1,I,N,top,slider,down,881,1
1,I,N,top,button,down,823,1
1,I,P,bottom,slider,top,687,1
1,I,N,top,button,down,951,1
1,I,M,top,slider,down,633,1
1,I,P,top,button,down,687,1
1,I,N,top,slider,down,808,1
1,I,G,top,button,down,744,1
1,I,G,bottom,slider,top,866,1
1,I,M,top,button,down,753,1
1,I,G,top,slider,down,783,1
1,I,P,top,button,down,688,1
1,I,P,bottom,slider,top,783,1
1,I,G,bottom,button,top,768,1
1,I,M,bottom,slider,top,846,1
1,I,P,top,button,down,751,1
1,I,P,bottom,slider,top,599,1
1,I,N,bottom,button,top,743,1
1,I,G,bottom,slider,top,600,1
1,I,P,top,button,down,816,1
1,I,N,bottom,slider,top,790,1
1,I,G,top,button,down,814,1
1,I,G,bottom,slider,top,774,1
1,I,G,top,button,down,1024,1
1,I,M,bottom,slider,top,687,1
1,I,M,bottom,button,top,790,1
1,I,M,bottom,slider,top,896,1
1,I,G,bottom,button,top,792,1
1,I,N,bottom,slider,top,720,1
1,I,M,top,button,down,792,1
1,I,M,bottom,slider,top,711,1
1,I,M,bottom,button,top,798,1
1,I,N,bottom,slider,top,953,1
1,I,N,bottom,button,top,920,1
1,I,N,top,slider,down,1415,1
1,I,N,bottom,button,top,735,1
1,I,M,bottom,slider,top,746,1
1,I,P,bottom,button,top,743,1
1,I,M,top,slider,down,823,1
1,I,P,top,button,down,784,1
1,I,P,top,slider,down,617,1
1,I,M,top,button,down,743,1
1,I,P,bottom,slider,top,631,1
1,I,P,top,button,down,630,1
1,I,G,top,slider,down,624,1
1,I,P,bottom,button,top,745,1
1,I,N,top,slider,down,743,1
1,I,P,top,button,down,815,1
1,I,N,bottom,slider,top,609,1
1,I,P,bottom,button,top,688,1
1,I,M,top,slider,down,672,1
1,I,G,bottom,button,top,615,1
1,I,M,bottom,slider,top,743,1
1,I,N,top,button,down,784,1
1,I,P,bottom,slider,top,821,1
10,I,G,bottom,button,top,1591,1
10,I,M,bottom,slider,top,1200,1
10,I,P,top,button,down,1590,1
10,I,G,top,slider,down,1247,1
10,I,G,bottom,button,top,1184,1
10,I,G,top,slider,down,938,1
10,I,G,bottom,button,top,1184,1
10,I,P,bottom,slider,top,1362,1
10,I,N,bottom,button,top,1174,1
10,I,N,top,slider,down,1040,1
10,I,N,top,button,down,1045,1
10,I,P,bottom,slider,top,1166,1
10,I,M,top,button,down,1024,1
10,I,G,bottom,slider,top,952,1
10,I,P,bottom,button,top,1038,1
10,I,G,top,slider,down,1222,1
10,I,M,bottom,button,top,1134,1
10,I,P,bottom,slider,top,1169,1
10,I,M,top,button,down,1008,1
10,I,N,top,slider,down,1080,1
10,I,N,top,button,down,984,1
10,I,M,bottom,slider,top,1103,1
